統計年,按照別,行政區域代碼,區域別,性別,出生時體重,胎別,嬰兒出生數
112,按登記日期分,65000020,新北市三重區,女,1001～1500克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,1501～2000克,單胎,11
112,按登記日期分,65000020,新北市三重區,女,1501～2000克,雙胞胎,8
112,按登記日期分,65000020,新北市三重區,女,1501～2000克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,1501～2000克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,女,1501～2000克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,2001～2500克,單胎,76
112,按登記日期分,65000020,新北市三重區,女,2001～2500克,雙胞胎,3
112,按登記日期分,65000020,新北市三重區,女,2001～2500克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,2001～2500克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,女,2001～2500克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,2501～3000克,單胎,339
112,按登記日期分,65000020,新北市三重區,女,2501～3000克,雙胞胎,2
112,按登記日期分,65000020,新北市三重區,女,2501～3000克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,2501～3000克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,女,2501～3000克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,3001～3500克,單胎,272
112,按登記日期分,65000020,新北市三重區,女,3001～3500克,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,女,3001～3500克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,3001～3500克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,女,3001～3500克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,3501～4000克,單胎,44
112,按登記日期分,65000020,新北市三重區,女,3501～4000克,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,女,3501～4000克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,3501～4000克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,女,3501～4000克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,4001～4500克,單胎,9
112,按登記日期分,65000020,新北市三重區,女,4001～4500克,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,女,4001～4500克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,4001～4500克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,女,4001～4500克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,4501～5000克,單胎,0
112,按登記日期分,65000020,新北市三重區,女,4501～5000克,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,女,4501～5000克,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,4501～5000克,４胞胎,0
112,按登記日期分,65000020,新北市三重區,女,4501～5000克,５胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,5001克及以上,單胎,0
112,按登記日期分,65000020,新北市三重區,女,5001克及以上,雙胞胎,0
112,按登記日期分,65000020,新北市三重區,女,5001克及以上,３胞胎,0
112,按登記日期分,65000020,新北市三重區,女,5001克及以上,４胞胎,0
112,按登記日期分,65000020,新北市三重區,女,5001克及以上,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,1000克及以下,單胎,5
112,按登記日期分,65000030,新北市中和區,男,1000克及以下,雙胞胎,1
112,按登記日期分,65000030,新北市中和區,男,1000克及以下,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,1000克及以下,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,1000克及以下,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,1001～1500克,單胎,2
112,按登記日期分,65000030,新北市中和區,男,1001～1500克,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,男,1001～1500克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,1001～1500克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,1001～1500克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,1501～2000克,單胎,13
112,按登記日期分,65000030,新北市中和區,男,1501～2000克,雙胞胎,5
112,按登記日期分,65000030,新北市中和區,男,1501～2000克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,1501～2000克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,1501～2000克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,2001～2500克,單胎,38
112,按登記日期分,65000030,新北市中和區,男,2001～2500克,雙胞胎,8
112,按登記日期分,65000030,新北市中和區,男,2001～2500克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,2001～2500克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,2001～2500克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,2501～3000克,單胎,287
112,按登記日期分,65000030,新北市中和區,男,2501～3000克,雙胞胎,10
112,按登記日期分,65000030,新北市中和區,男,2501～3000克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,2501～3000克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,2501～3000克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,3001～3500克,單胎,407
112,按登記日期分,65000030,新北市中和區,男,3001～3500克,雙胞胎,1
112,按登記日期分,65000030,新北市中和區,男,3001～3500克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,3001～3500克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,3001～3500克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,3501～4000克,單胎,86
112,按登記日期分,65000030,新北市中和區,男,3501～4000克,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,男,3501～4000克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,3501～4000克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,3501～4000克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,4001～4500克,單胎,7
112,按登記日期分,65000030,新北市中和區,男,4001～4500克,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,男,4001～4500克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,4001～4500克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,4001～4500克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,4501～5000克,單胎,1
112,按登記日期分,65000030,新北市中和區,男,4501～5000克,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,男,4501～5000克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,4501～5000克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,4501～5000克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,5001克及以上,單胎,0
112,按登記日期分,65000030,新北市中和區,男,5001克及以上,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,男,5001克及以上,３胞胎,0
112,按登記日期分,65000030,新北市中和區,男,5001克及以上,４胞胎,0
112,按登記日期分,65000030,新北市中和區,男,5001克及以上,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,1000克及以下,單胎,6
112,按登記日期分,65000030,新北市中和區,女,1000克及以下,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,女,1000克及以下,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,1000克及以下,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,1000克及以下,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,1001～1500克,單胎,5
112,按登記日期分,65000030,新北市中和區,女,1001～1500克,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,女,1001～1500克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,1001～1500克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,1001～1500克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,1501～2000克,單胎,7
112,按登記日期分,65000030,新北市中和區,女,1501～2000克,雙胞胎,9
112,按登記日期分,65000030,新北市中和區,女,1501～2000克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,1501～2000克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,1501～2000克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,2001～2500克,單胎,73
112,按登記日期分,65000030,新北市中和區,女,2001～2500克,雙胞胎,22
112,按登記日期分,65000030,新北市中和區,女,2001～2500克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,2001～2500克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,2001～2500克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,2501～3000克,單胎,328
112,按登記日期分,65000030,新北市中和區,女,2501～3000克,雙胞胎,5
112,按登記日期分,65000030,新北市中和區,女,2501～3000克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,2501～3000克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,2501～3000克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,3001～3500克,單胎,302
112,按登記日期分,65000030,新北市中和區,女,3001～3500克,雙胞胎,1
112,按登記日期分,65000030,新北市中和區,女,3001～3500克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,3001～3500克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,3001～3500克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,3501～4000克,單胎,65
112,按登記日期分,65000030,新北市中和區,女,3501～4000克,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,女,3501～4000克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,3501～4000克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,3501～4000克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,4001～4500克,單胎,5
112,按登記日期分,65000030,新北市中和區,女,4001～4500克,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,女,4001～4500克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,4001～4500克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,4001～4500克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,4501～5000克,單胎,0
112,按登記日期分,65000030,新北市中和區,女,4501～5000克,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,女,4501～5000克,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,4501～5000克,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,4501～5000克,５胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,5001克及以上,單胎,0
112,按登記日期分,65000030,新北市中和區,女,5001克及以上,雙胞胎,0
112,按登記日期分,65000030,新北市中和區,女,5001克及以上,３胞胎,0
112,按登記日期分,65000030,新北市中和區,女,5001克及以上,４胞胎,0
112,按登記日期分,65000030,新北市中和區,女,5001克及以上,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,1000克及以下,單胎,2
112,按登記日期分,65000040,新北市永和區,男,1000克及以下,雙胞胎,1
112,按登記日期分,65000040,新北市永和區,男,1000克及以下,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,1000克及以下,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,1000克及以下,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,1001～1500克,單胎,0
112,按登記日期分,65000040,新北市永和區,男,1001～1500克,雙胞胎,1
112,按登記日期分,65000040,新北市永和區,男,1001～1500克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,1001～1500克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,1001～1500克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,1501～2000克,單胎,3
112,按登記日期分,65000040,新北市永和區,男,1501～2000克,雙胞胎,0
112,按登記日期分,65000040,新北市永和區,男,1501～2000克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,1501～2000克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,1501～2000克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,2001～2500克,單胎,11
112,按登記日期分,65000040,新北市永和區,男,2001～2500克,雙胞胎,6
112,按登記日期分,65000040,新北市永和區,男,2001～2500克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,2001～2500克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,2001～2500克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,2501～3000克,單胎,114
112,按登記日期分,65000040,新北市永和區,男,2501～3000克,雙胞胎,10
112,按登記日期分,65000040,新北市永和區,男,2501～3000克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,2501～3000克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,2501～3000克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,3001～3500克,單胎,167
112,按登記日期分,65000040,新北市永和區,男,3001～3500克,雙胞胎,0
112,按登記日期分,65000040,新北市永和區,男,3001～3500克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,3001～3500克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,3001～3500克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,3501～4000克,單胎,39
112,按登記日期分,65000040,新北市永和區,男,3501～4000克,雙胞胎,0
112,按登記日期分,65000040,新北市永和區,男,3501～4000克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,3501～4000克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,3501～4000克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,4001～4500克,單胎,4
112,按登記日期分,65000040,新北市永和區,男,4001～4500克,雙胞胎,0
112,按登記日期分,65000040,新北市永和區,男,4001～4500克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,4001～4500克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,4001～4500克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,4501～5000克,單胎,0
112,按登記日期分,65000040,新北市永和區,男,4501～5000克,雙胞胎,0
112,按登記日期分,65000040,新北市永和區,男,4501～5000克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,4501～5000克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,4501～5000克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,5001克及以上,單胎,0
112,按登記日期分,65000040,新北市永和區,男,5001克及以上,雙胞胎,0
112,按登記日期分,65000040,新北市永和區,男,5001克及以上,３胞胎,0
112,按登記日期分,65000040,新北市永和區,男,5001克及以上,４胞胎,0
112,按登記日期分,65000040,新北市永和區,男,5001克及以上,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,女,1000克及以下,單胎,0
112,按登記日期分,65000040,新北市永和區,女,1000克及以下,雙胞胎,1
112,按登記日期分,65000040,新北市永和區,女,1000克及以下,３胞胎,0
112,按登記日期分,65000040,新北市永和區,女,1000克及以下,４胞胎,0
112,按登記日期分,65000040,新北市永和區,女,1000克及以下,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,女,1001～1500克,單胎,1
112,按登記日期分,65000040,新北市永和區,女,1001～1500克,雙胞胎,1
112,按登記日期分,65000040,新北市永和區,女,1001～1500克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,女,1001～1500克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,女,1001～1500克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,女,1501～2000克,單胎,6
112,按登記日期分,65000040,新北市永和區,女,1501～2000克,雙胞胎,0
112,按登記日期分,65000040,新北市永和區,女,1501～2000克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,女,1501～2000克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,女,1501～2000克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,女,2001～2500克,單胎,36
112,按登記日期分,65000040,新北市永和區,女,2001～2500克,雙胞胎,9
112,按登記日期分,65000040,新北市永和區,女,2001～2500克,３胞胎,0
112,按登記日期分,65000040,新北市永和區,女,2001～2500克,４胞胎,0
112,按登記日期分,65000040,新北市永和區,女,2001～2500克,５胞胎以上,0
112,按登記日期分,65000040,新北市永和區,女,2501～3000克,單胎,155
