統計年,按照別,區域別代碼,區域別,懷孕期間,出生時體重,嬰兒出生數
111,按發生日期分,65000010,新北市板橋區,41～42週,4001～4500克,0
111,按發生日期分,65000010,新北市板橋區,41～42週,4501～5000克,0
111,按發生日期分,65000010,新北市板橋區,41～42週,5001克及以上,0
111,按發生日期分,65000010,新北市板橋區,43週以上,1000克及以下,0
111,按發生日期分,65000010,新北市板橋區,43週以上,1001～1500克,0
111,按發生日期分,65000010,新北市板橋區,43週以上,1501～2000克,0
111,按發生日期分,65000010,新北市板橋區,43週以上,2001～2500克,0
111,按發生日期分,65000010,新北市板橋區,43週以上,2501～3000克,0
111,按發生日期分,65000010,新北市板橋區,43週以上,3001～3500克,0
111,按發生日期分,65000010,新北市板橋區,43週以上,3501～4000克,0
111,按發生日期分,65000010,新北市板橋區,43週以上,4001～4500克,0
111,按發生日期分,65000010,新北市板橋區,43週以上,4501～5000克,0
111,按發生日期分,65000010,新北市板橋區,43週以上,5001克及以上,0
111,按發生日期分,65000020,新北市三重區,28週以下,1000克及以下,8
111,按發生日期分,65000020,新北市三重區,28週以下,1001～1500克,0
111,按發生日期分,65000020,新北市三重區,28週以下,1501～2000克,0
111,按發生日期分,65000020,新北市三重區,28週以下,2001～2500克,0
111,按發生日期分,65000020,新北市三重區,28週以下,2501～3000克,0
111,按發生日期分,65000020,新北市三重區,28週以下,3001～3500克,0
111,按發生日期分,65000020,新北市三重區,28週以下,3501～4000克,0
111,按發生日期分,65000020,新北市三重區,28週以下,4001～4500克,0
111,按發生日期分,65000020,新北市三重區,28週以下,4501～5000克,0
111,按發生日期分,65000020,新北市三重區,28週以下,5001克及以上,0
111,按發生日期分,65000020,新北市三重區,28～31週,1000克及以下,2
111,按發生日期分,65000020,新北市三重區,28～31週,1001～1500克,10
111,按發生日期分,65000020,新北市三重區,28～31週,1501～2000克,1
111,按發生日期分,65000020,新北市三重區,28～31週,2001～2500克,0
111,按發生日期分,65000020,新北市三重區,28～31週,2501～3000克,0
111,按發生日期分,65000020,新北市三重區,28～31週,3001～3500克,0
111,按發生日期分,65000020,新北市三重區,28～31週,3501～4000克,0
111,按發生日期分,65000020,新北市三重區,28～31週,4001～4500克,0
111,按發生日期分,65000020,新北市三重區,28～31週,4501～5000克,0
111,按發生日期分,65000020,新北市三重區,28～31週,5001克及以上,0
111,按發生日期分,65000020,新北市三重區,32～35週,1000克及以下,0
111,按發生日期分,65000020,新北市三重區,32～35週,1001～1500克,1
111,按發生日期分,65000020,新北市三重區,32～35週,1501～2000克,24
111,按發生日期分,65000020,新北市三重區,32～35週,2001～2500克,36
111,按發生日期分,65000020,新北市三重區,32～35週,2501～3000克,5
111,按發生日期分,65000020,新北市三重區,32～35週,3001～3500克,1
111,按發生日期分,65000020,新北市三重區,32～35週,3501～4000克,0
111,按發生日期分,65000020,新北市三重區,32～35週,4001～4500克,0
111,按發生日期分,65000020,新北市三重區,32～35週,4501～5000克,0
111,按發生日期分,65000020,新北市三重區,32～35週,5001克及以上,0
111,按發生日期分,65000020,新北市三重區,36週,1000克及以下,0
111,按發生日期分,65000020,新北市三重區,36週,1001～1500克,1
111,按發生日期分,65000020,新北市三重區,36週,1501～2000克,7
111,按發生日期分,65000020,新北市三重區,36週,2001～2500克,41
111,按發生日期分,65000020,新北市三重區,36週,2501～3000克,41
111,按發生日期分,65000020,新北市三重區,36週,3001～3500克,13
111,按發生日期分,65000020,新北市三重區,36週,3501～4000克,0
111,按發生日期分,65000020,新北市三重區,36週,4001～4500克,0
111,按發生日期分,65000020,新北市三重區,36週,4501～5000克,0
111,按發生日期分,65000020,新北市三重區,36週,5001克及以上,0
111,按發生日期分,65000020,新北市三重區,37～39週,1000克及以下,0
111,按發生日期分,65000020,新北市三重區,37～39週,1001～1500克,1
111,按發生日期分,65000020,新北市三重區,37～39週,1501～2000克,2
111,按發生日期分,65000020,新北市三重區,37～39週,2001～2500克,81
111,按發生日期分,65000020,新北市三重區,37～39週,2501～3000克,620
111,按發生日期分,65000020,新北市三重區,37～39週,3001～3500克,641
111,按發生日期分,65000020,新北市三重區,37～39週,3501～4000克,136
111,按發生日期分,65000020,新北市三重區,37～39週,4001～4500克,16
111,按發生日期分,65000020,新北市三重區,37～39週,4501～5000克,0
111,按發生日期分,65000020,新北市三重區,37～39週,5001克及以上,0
111,按發生日期分,65000020,新北市三重區,40週,1000克及以下,0
111,按發生日期分,65000020,新北市三重區,40週,1001～1500克,0
111,按發生日期分,65000020,新北市三重區,40週,1501～2000克,0
111,按發生日期分,65000020,新北市三重區,40週,2001～2500克,2
111,按發生日期分,65000020,新北市三重區,40週,2501～3000克,46
111,按發生日期分,65000020,新北市三重區,40週,3001～3500克,100
111,按發生日期分,65000020,新北市三重區,40週,3501～4000克,35
111,按發生日期分,65000020,新北市三重區,40週,4001～4500克,6
111,按發生日期分,65000020,新北市三重區,40週,4501～5000克,0
111,按發生日期分,65000020,新北市三重區,40週,5001克及以上,0
111,按發生日期分,65000020,新北市三重區,41～42週,1000克及以下,0
111,按發生日期分,65000020,新北市三重區,41～42週,1001～1500克,0
111,按發生日期分,65000020,新北市三重區,41～42週,1501～2000克,0
111,按發生日期分,65000020,新北市三重區,41～42週,2001～2500克,1
111,按發生日期分,65000020,新北市三重區,41～42週,2501～3000克,2
111,按發生日期分,65000020,新北市三重區,41～42週,3001～3500克,2
111,按發生日期分,65000020,新北市三重區,41～42週,3501～4000克,2
111,按發生日期分,65000020,新北市三重區,41～42週,4001～4500克,0
111,按發生日期分,65000020,新北市三重區,41～42週,4501～5000克,0
111,按發生日期分,65000020,新北市三重區,41～42週,5001克及以上,0
111,按發生日期分,65000020,新北市三重區,43週以上,1000克及以下,0
111,按發生日期分,65000020,新北市三重區,43週以上,1001～1500克,0
111,按發生日期分,65000020,新北市三重區,43週以上,1501～2000克,0
111,按發生日期分,65000020,新北市三重區,43週以上,2001～2500克,0
111,按發生日期分,65000020,新北市三重區,43週以上,2501～3000克,0
111,按發生日期分,65000020,新北市三重區,43週以上,3001～3500克,0
111,按發生日期分,65000020,新北市三重區,43週以上,3501～4000克,0
111,按發生日期分,65000020,新北市三重區,43週以上,4001～4500克,0
111,按發生日期分,65000020,新北市三重區,43週以上,4501～5000克,0
111,按發生日期分,65000020,新北市三重區,43週以上,5001克及以上,0
111,按發生日期分,65000030,新北市中和區,28週以下,1000克及以下,7
111,按發生日期分,65000030,新北市中和區,28週以下,1001～1500克,0
111,按發生日期分,65000030,新北市中和區,28週以下,1501～2000克,0
111,按發生日期分,65000030,新北市中和區,28週以下,2001～2500克,0
111,按發生日期分,65000030,新北市中和區,28週以下,2501～3000克,0
111,按發生日期分,65000030,新北市中和區,28週以下,3001～3500克,0
111,按發生日期分,65000030,新北市中和區,28週以下,3501～4000克,0
111,按發生日期分,65000030,新北市中和區,28週以下,4001～4500克,0
111,按發生日期分,65000030,新北市中和區,28週以下,4501～5000克,0
111,按發生日期分,65000030,新北市中和區,28週以下,5001克及以上,0
111,按發生日期分,65000030,新北市中和區,28～31週,1000克及以下,1
111,按發生日期分,65000030,新北市中和區,28～31週,1001～1500克,4
111,按發生日期分,65000030,新北市中和區,28～31週,1501～2000克,0
111,按發生日期分,65000030,新北市中和區,28～31週,2001～2500克,0
111,按發生日期分,65000030,新北市中和區,28～31週,2501～3000克,0
111,按發生日期分,65000030,新北市中和區,28～31週,3001～3500克,0
111,按發生日期分,65000030,新北市中和區,28～31週,3501～4000克,0
111,按發生日期分,65000030,新北市中和區,28～31週,4001～4500克,0
111,按發生日期分,65000030,新北市中和區,28～31週,4501～5000克,0
111,按發生日期分,65000030,新北市中和區,28～31週,5001克及以上,0
111,按發生日期分,65000030,新北市中和區,32～35週,1000克及以下,0
111,按發生日期分,65000030,新北市中和區,32～35週,1001～1500克,4
111,按發生日期分,65000030,新北市中和區,32～35週,1501～2000克,18
111,按發生日期分,65000030,新北市中和區,32～35週,2001～2500克,27
111,按發生日期分,65000030,新北市中和區,32～35週,2501～3000克,14
111,按發生日期分,65000030,新北市中和區,32～35週,3001～3500克,1
111,按發生日期分,65000030,新北市中和區,32～35週,3501～4000克,0
111,按發生日期分,65000030,新北市中和區,32～35週,4001～4500克,0
111,按發生日期分,65000030,新北市中和區,32～35週,4501～5000克,0
111,按發生日期分,65000030,新北市中和區,32～35週,5001克及以上,0
111,按發生日期分,65000030,新北市中和區,36週,1000克及以下,0
111,按發生日期分,65000030,新北市中和區,36週,1001～1500克,1
111,按發生日期分,65000030,新北市中和區,36週,1501～2000克,4
111,按發生日期分,65000030,新北市中和區,36週,2001～2500克,35
111,按發生日期分,65000030,新北市中和區,36週,2501～3000克,46
111,按發生日期分,65000030,新北市中和區,36週,3001～3500克,9
111,按發生日期分,65000030,新北市中和區,36週,3501～4000克,2
111,按發生日期分,65000030,新北市中和區,36週,4001～4500克,0
111,按發生日期分,65000030,新北市中和區,36週,4501～5000克,1
111,按發生日期分,65000030,新北市中和區,36週,5001克及以上,0
111,按發生日期分,65000030,新北市中和區,37～39週,1000克及以下,0
111,按發生日期分,65000030,新北市中和區,37～39週,1001～1500克,0
111,按發生日期分,65000030,新北市中和區,37～39週,1501～2000克,2
111,按發生日期分,65000030,新北市中和區,37～39週,2001～2500克,97
111,按發生日期分,65000030,新北市中和區,37～39週,2501～3000克,542
111,按發生日期分,65000030,新北市中和區,37～39週,3001～3500克,672
111,按發生日期分,65000030,新北市中和區,37～39週,3501～4000克,155
111,按發生日期分,65000030,新北市中和區,37～39週,4001～4500克,15
111,按發生日期分,65000030,新北市中和區,37～39週,4501～5000克,1
111,按發生日期分,65000030,新北市中和區,37～39週,5001克及以上,0
111,按發生日期分,65000030,新北市中和區,40週,1000克及以下,0
111,按發生日期分,65000030,新北市中和區,40週,1001～1500克,0
111,按發生日期分,65000030,新北市中和區,40週,1501～2000克,0
111,按發生日期分,65000030,新北市中和區,40週,2001～2500克,3
111,按發生日期分,65000030,新北市中和區,40週,2501～3000克,54
111,按發生日期分,65000030,新北市中和區,40週,3001～3500克,87
111,按發生日期分,65000030,新北市中和區,40週,3501～4000克,33
111,按發生日期分,65000030,新北市中和區,40週,4001～4500克,6
111,按發生日期分,65000030,新北市中和區,40週,4501～5000克,0
111,按發生日期分,65000030,新北市中和區,40週,5001克及以上,0
111,按發生日期分,65000030,新北市中和區,41～42週,1000克及以下,0
111,按發生日期分,65000030,新北市中和區,41～42週,1001～1500克,0
111,按發生日期分,65000030,新北市中和區,41～42週,1501～2000克,0
111,按發生日期分,65000030,新北市中和區,41～42週,2001～2500克,0
111,按發生日期分,65000030,新北市中和區,41～42週,2501～3000克,3
111,按發生日期分,65000030,新北市中和區,41～42週,3001～3500克,7
111,按發生日期分,65000030,新北市中和區,41～42週,3501～4000克,1
111,按發生日期分,65000030,新北市中和區,41～42週,4001～4500克,0
111,按發生日期分,65000030,新北市中和區,41～42週,4501～5000克,0
111,按發生日期分,65000030,新北市中和區,41～42週,5001克及以上,0
111,按發生日期分,65000030,新北市中和區,43週以上,1000克及以下,0
111,按發生日期分,65000030,新北市中和區,43週以上,1001～1500克,0
111,按發生日期分,65000030,新北市中和區,43週以上,1501～2000克,0
111,按發生日期分,65000030,新北市中和區,43週以上,2001～2500克,0
111,按發生日期分,65000030,新北市中和區,43週以上,2501～3000克,0
111,按發生日期分,65000030,新北市中和區,43週以上,3001～3500克,0
111,按發生日期分,65000030,新北市中和區,43週以上,3501～4000克,0
111,按發生日期分,65000030,新北市中和區,43週以上,4001～4500克,0
111,按發生日期分,65000030,新北市中和區,43週以上,4501～5000克,0
111,按發生日期分,65000030,新北市中和區,43週以上,5001克及以上,0
111,按發生日期分,65000040,新北市永和區,28週以下,1000克及以下,0
111,按發生日期分,65000040,新北市永和區,28週以下,1001～1500克,0
111,按發生日期分,65000040,新北市永和區,28週以下,1501～2000克,0
111,按發生日期分,65000040,新北市永和區,28週以下,2001～2500克,0
111,按發生日期分,65000040,新北市永和區,28週以下,2501～3000克,0
111,按發生日期分,65000040,新北市永和區,28週以下,3001～3500克,0
111,按發生日期分,65000040,新北市永和區,28週以下,3501～4000克,0
111,按發生日期分,65000040,新北市永和區,28週以下,4001～4500克,0
111,按發生日期分,65000040,新北市永和區,28週以下,4501～5000克,0
111,按發生日期分,65000040,新北市永和區,28週以下,5001克及以上,0
111,按發生日期分,65000040,新北市永和區,28～31週,1000克及以下,0
111,按發生日期分,65000040,新北市永和區,28～31週,1001～1500克,5
111,按發生日期分,65000040,新北市永和區,28～31週,1501～2000克,2
111,按發生日期分,65000040,新北市永和區,28～31週,2001～2500克,0
111,按發生日期分,65000040,新北市永和區,28～31週,2501～3000克,0
111,按發生日期分,65000040,新北市永和區,28～31週,3001～3500克,0
111,按發生日期分,65000040,新北市永和區,28～31週,3501～4000克,0
111,按發生日期分,65000040,新北市永和區,28～31週,4001～4500克,0
111,按發生日期分,65000040,新北市永和區,28～31週,4501～5000克,0
111,按發生日期分,65000040,新北市永和區,28～31週,5001克及以上,0
111,按發生日期分,65000040,新北市永和區,32～35週,1000克及以下,0
111,按發生日期分,65000040,新北市永和區,32～35週,1001～1500克,4
111,按發生日期分,65000040,新北市永和區,32～35週,1501～2000克,10
111,按發生日期分,65000040,新北市永和區,32～35週,2001～2500克,12
111,按發生日期分,65000040,新北市永和區,32～35週,2501～3000克,8
111,按發生日期分,65000040,新北市永和區,32～35週,3001～3500克,1
111,按發生日期分,65000040,新北市永和區,32～35週,3501～4000克,0
111,按發生日期分,65000040,新北市永和區,32～35週,4001～4500克,0
111,按發生日期分,65000040,新北市永和區,32～35週,4501～5000克,0
111,按發生日期分,65000040,新北市永和區,32～35週,5001克及以上,0
111,按發生日期分,65000040,新北市永和區,36週,1000克及以下,0
111,按發生日期分,65000040,新北市永和區,36週,1001～1500克,1
111,按發生日期分,65000040,新北市永和區,36週,1501～2000克,2
111,按發生日期分,65000040,新北市永和區,36週,2001～2500克,14
111,按發生日期分,65000040,新北市永和區,36週,2501～3000克,15
111,按發生日期分,65000040,新北市永和區,36週,3001～3500克,2
111,按發生日期分,65000040,新北市永和區,36週,3501～4000克,1
111,按發生日期分,65000040,新北市永和區,36週,4001～4500克,0
111,按發生日期分,65000040,新北市永和區,36週,4501～5000克,0
111,按發生日期分,65000040,新北市永和區,36週,5001克及以上,0
111,按發生日期分,65000040,新北市永和區,37～39週,1000克及以下,0
111,按發生日期分,65000040,新北市永和區,37～39週,1001～1500克,0
111,按發生日期分,65000040,新北市永和區,37～39週,1501～2000克,3
111,按發生日期分,65000040,新北市永和區,37～39週,2001～2500克,37
111,按發生日期分,65000040,新北市永和區,37～39週,2501～3000克,306
111,按發生日期分,65000040,新北市永和區,37～39週,3001～3500克,323
111,按發生日期分,65000040,新北市永和區,37～39週,3501～4000克,66
111,按發生日期分,65000040,新北市永和區,37～39週,4001～4500克,5
111,按發生日期分,65000040,新北市永和區,37～39週,4501～5000克,0
111,按發生日期分,65000040,新北市永和區,37～39週,5001克及以上,0
111,按發生日期分,65000040,新北市永和區,40週,1000克及以下,0
111,按發生日期分,65000040,新北市永和區,40週,1001～1500克,0
111,按發生日期分,65000040,新北市永和區,40週,1501～2000克,0
111,按發生日期分,65000040,新北市永和區,40週,2001～2500克,1
111,按發生日期分,65000040,新北市永和區,40週,2501～3000克,16
111,按發生日期分,65000040,新北市永和區,40週,3001～3500克,39
111,按發生日期分,65000040,新北市永和區,40週,3501～4000克,14
111,按發生日期分,65000040,新北市永和區,40週,4001～4500克,1
111,按發生日期分,65000040,新北市永和區,40週,4501～5000克,0
111,按發生日期分,65000040,新北市永和區,40週,5001克及以上,0
111,按發生日期分,65000040,新北市永和區,41～42週,1000克及以下,0
111,按發生日期分,65000040,新北市永和區,41～42週,1001～1500克,0
111,按發生日期分,65000040,新北市永和區,41～42週,1501～2000克,0
111,按發生日期分,65000040,新北市永和區,41～42週,2001～2500克,0
111,按發生日期分,65000040,新北市永和區,41～42週,2501～3000克,2
111,按發生日期分,65000040,新北市永和區,41～42週,3001～3500克,2
111,按發生日期分,65000040,新北市永和區,41～42週,3501～4000克,0
111,按發生日期分,65000040,新北市永和區,41～42週,4001～4500克,0
111,按發生日期分,65000040,新北市永和區,41～42週,4501～5000克,0
111,按發生日期分,65000040,新北市永和區,41～42週,5001克及以上,0
111,按發生日期分,65000040,新北市永和區,43週以上,1000克及以下,0
111,按發生日期分,65000040,新北市永和區,43週以上,1001～1500克,0
111,按發生日期分,65000040,新北市永和區,43週以上,1501～2000克,0
111,按發生日期分,65000040,新北市永和區,43週以上,2001～2500克,0
111,按發生日期分,65000040,新北市永和區,43週以上,2501～3000克,0
111,按發生日期分,65000040,新北市永和區,43週以上,3001～3500克,0
111,按發生日期分,65000040,新北市永和區,43週以上,3501～4000克,0
111,按發生日期分,65000040,新北市永和區,43週以上,4001～4500克,0
111,按發生日期分,65000040,新北市永和區,43週以上,4501～5000克,0
111,按發生日期分,65000040,新北市永和區,43週以上,5001克及以上,0
111,按發生日期分,65000050,新北市新莊區,28週以下,1000克及以下,11
111,按發生日期分,65000050,新北市新莊區,28週以下,1001～1500克,3
111,按發生日期分,65000050,新北市新莊區,28週以下,1501～2000克,0
111,按發生日期分,65000050,新北市新莊區,28週以下,2001～2500克,0
111,按發生日期分,65000050,新北市新莊區,28週以下,2501～3000克,0
111,按發生日期分,65000050,新北市新莊區,28週以下,3001～3500克,0
111,按發生日期分,65000050,新北市新莊區,28週以下,3501～4000克,0
111,按發生日期分,65000050,新北市新莊區,28週以下,4001～4500克,0
111,按發生日期分,65000050,新北市新莊區,28週以下,4501～5000克,0
111,按發生日期分,65000050,新北市新莊區,28週以下,5001克及以上,0
111,按發生日期分,65000050,新北市新莊區,28～31週,1000克及以下,1
111,按發生日期分,65000050,新北市新莊區,28～31週,1001～1500克,13
111,按發生日期分,65000050,新北市新莊區,28～31週,1501～2000克,4
111,按發生日期分,65000050,新北市新莊區,28～31週,2001～2500克,1
111,按發生日期分,65000050,新北市新莊區,28～31週,2501～3000克,0
111,按發生日期分,65000050,新北市新莊區,28～31週,3001～3500克,0
111,按發生日期分,65000050,新北市新莊區,28～31週,3501～4000克,0
111,按發生日期分,65000050,新北市新莊區,28～31週,4001～4500克,0
111,按發生日期分,65000050,新北市新莊區,28～31週,4501～5000克,0
111,按發生日期分,65000050,新北市新莊區,28～31週,5001克及以上,0
111,按發生日期分,65000050,新北市新莊區,32～35週,1000克及以下,0
111,按發生日期分,65000050,新北市新莊區,32～35週,1001～1500克,6
111,按發生日期分,65000050,新北市新莊區,32～35週,1501～2000克,28
111,按發生日期分,65000050,新北市新莊區,32～35週,2001～2500克,49
111,按發生日期分,65000050,新北市新莊區,32～35週,2501～3000克,27
111,按發生日期分,65000050,新北市新莊區,32～35週,3001～3500克,2
111,按發生日期分,65000050,新北市新莊區,32～35週,3501～4000克,0
111,按發生日期分,65000050,新北市新莊區,32～35週,4001～4500克,0
111,按發生日期分,65000050,新北市新莊區,32～35週,4501～5000克,0
111,按發生日期分,65000050,新北市新莊區,32～35週,5001克及以上,0
111,按發生日期分,65000050,新北市新莊區,36週,1000克及以下,0
111,按發生日期分,65000050,新北市新莊區,36週,1001～1500克,1
111,按發生日期分,65000050,新北市新莊區,36週,1501～2000克,5
111,按發生日期分,65000050,新北市新莊區,36週,2001～2500克,34
111,按發生日期分,65000050,新北市新莊區,36週,2501～3000克,54
111,按發生日期分,65000050,新北市新莊區,36週,3001～3500克,8
111,按發生日期分,65000050,新北市新莊區,36週,3501～4000克,3
111,按發生日期分,65000050,新北市新莊區,36週,4001～4500克,3
111,按發生日期分,65000050,新北市新莊區,36週,4501～5000克,0
111,按發生日期分,65000050,新北市新莊區,36週,5001克及以上,0
111,按發生日期分,65000050,新北市新莊區,37～39週,1000克及以下,0
111,按發生日期分,65000050,新北市新莊區,37～39週,1001～1500克,0
111,按發生日期分,65000050,新北市新莊區,37～39週,1501～2000克,5
111,按發生日期分,65000050,新北市新莊區,37～39週,2001～2500克,133
111,按發生日期分,65000050,新北市新莊區,37～39週,2501～3000克,826
111,按發生日期分,65000050,新北市新莊區,37～39週,3001～3500克,881
111,按發生日期分,65000050,新北市新莊區,37～39週,3501～4000克,174
111,按發生日期分,65000050,新北市新莊區,37～39週,4001～4500克,14
111,按發生日期分,65000050,新北市新莊區,37～39週,4501～5000克,1
111,按發生日期分,65000050,新北市新莊區,37～39週,5001克及以上,1
111,按發生日期分,65000050,新北市新莊區,40週,1000克及以下,0
111,按發生日期分,65000050,新北市新莊區,40週,1001～1500克,0
111,按發生日期分,65000050,新北市新莊區,40週,1501～2000克,0
111,按發生日期分,65000050,新北市新莊區,40週,2001～2500克,5
111,按發生日期分,65000050,新北市新莊區,40週,2501～3000克,59
111,按發生日期分,65000050,新北市新莊區,40週,3001～3500克,130
111,按發生日期分,65000050,新北市新莊區,40週,3501～4000克,45
111,按發生日期分,65000050,新北市新莊區,40週,4001～4500克,4
111,按發生日期分,65000050,新北市新莊區,40週,4501～5000克,0
111,按發生日期分,65000050,新北市新莊區,40週,5001克及以上,0
111,按發生日期分,65000050,新北市新莊區,41～42週,1000克及以下,0
111,按發生日期分,65000050,新北市新莊區,41～42週,1001～1500克,0
111,按發生日期分,65000050,新北市新莊區,41～42週,1501～2000克,0
111,按發生日期分,65000050,新北市新莊區,41～42週,2001～2500克,0
111,按發生日期分,65000050,新北市新莊區,41～42週,2501～3000克,4
111,按發生日期分,65000050,新北市新莊區,41～42週,3001～3500克,11
111,按發生日期分,65000050,新北市新莊區,41～42週,3501～4000克,2
111,按發生日期分,65000050,新北市新莊區,41～42週,4001～4500克,1
111,按發生日期分,65000050,新北市新莊區,41～42週,4501～5000克,0
111,按發生日期分,65000050,新北市新莊區,41～42週,5001克及以上,0
111,按發生日期分,65000050,新北市新莊區,43週以上,1000克及以下,0
111,按發生日期分,65000050,新北市新莊區,43週以上,1001～1500克,0
111,按發生日期分,65000050,新北市新莊區,43週以上,1501～2000克,0
111,按發生日期分,65000050,新北市新莊區,43週以上,2001～2500克,0
111,按發生日期分,65000050,新北市新莊區,43週以上,2501～3000克,0
111,按發生日期分,65000050,新北市新莊區,43週以上,3001～3500克,0
111,按發生日期分,65000050,新北市新莊區,43週以上,3501～4000克,0
111,按發生日期分,65000050,新北市新莊區,43週以上,4001～4500克,0
111,按發生日期分,65000050,新北市新莊區,43週以上,4501～5000克,0
111,按發生日期分,65000050,新北市新莊區,43週以上,5001克及以上,0
111,按發生日期分,65000060,新北市新店區,28週以下,1000克及以下,5
111,按發生日期分,65000060,新北市新店區,28週以下,1001～1500克,1
111,按發生日期分,65000060,新北市新店區,28週以下,1501～2000克,0
111,按發生日期分,65000060,新北市新店區,28週以下,2001～2500克,0
111,按發生日期分,65000060,新北市新店區,28週以下,2501～3000克,0
111,按發生日期分,65000060,新北市新店區,28週以下,3001～3500克,0
111,按發生日期分,65000060,新北市新店區,28週以下,3501～4000克,0
111,按發生日期分,65000060,新北市新店區,28週以下,4001～4500克,0
111,按發生日期分,65000060,新北市新店區,28週以下,4501～5000克,0
111,按發生日期分,65000060,新北市新店區,28週以下,5001克及以上,0
